District,Neighborhood,ID,Name
Northwest,Greater Inwood,4b915dd0f964a520a9b633e3,Pappas Seafood House
Northwest,Greater Inwood,4bd7a32e09ecb713886a477c,Mambo Seafood
Southeast,Greater OST,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
West,Greater Uptown,4b42aa53f964a52074d825e3,Truluck's
West,Greater Uptown,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
West,Greater Uptown,4b305919f964a52017f924e3,Goode Company Seafood
Southwest,Greenway,4b305919f964a52017f924e3,Goode Company Seafood
Southwest,Greenway,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
Southwest,Greenway,4b42aa53f964a52074d825e3,Truluck's
Southwest,Gulfton,4b42aa53f964a52074d825e3,Truluck's
Southwest,Gulfton,5babc856838e59002c0a8c8a,Eunice
Southeast,Harrisburg,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Southeast,Harrisburg,594d71902be42528bc8d0e46,Casian Crawfish
Southeast,Harrisburg,4cab5b3d2776b60ca8674b0d,Mambo Seafood
North,Hidden Valley,4b915dd0f964a520a9b633e3,Pappas Seafood House
North,Hidden Valley,4bd7a32e09ecb713886a477c,Mambo Seafood
North,Hidden Valley,4b91ca29f964a5209ad733e3,Mambo Seafood
North,Hidden Valley,5865a75365e7c70a2ff0aca4,Culichi Town
North,Hidden Valley,5311467d11d2358d539058a7,Lotus Seafood
North,Hidden Valley,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
North,Hidden Valley,4c96456a58d4b60c667d3929,Captain Benny's Seafood
North,Hidden Valley,4bb68d73f562ef3bfe5e3097,Ostioneria Michoacan
Northeast,Hunterwood,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Northeast,Hunterwood,4c6cde2cd68a9c745aef6b6b,Captain Tom's Seafood and Oyster Bar
Northeast,Hunterwood,4cab5b3d2776b60ca8674b0d,Mambo Seafood
Northeast,Hunterwood,4b6f6ac1f964a520b8ef2ce3,Captain Tom's
Northeast,Hunterwood,4ef2233482310969a7db7c41,Texas Grill Seafood
Northeast,Hunterwood,4cd2f0384aa9f04df10d5acb,Baytown Seafood
North,IAH Airport,4b5cd8c9f964a520134729e3,Pappadeaux Seafood Kitchen
North,IAH Airport,4a8f3ba8f964a520731420e3,Pappas Seafood House
North,IAH Airport,4b915dd0f964a520a9b633e3,Pappas Seafood House
North,Independence Heights,4bd7a32e09ecb713886a477c,Mambo Seafood
North,Independence Heights,4e7249a6b0fb9f3b35292560,Liberty Kitchen & Oyster Bar
North,Independence Heights,4c96456a58d4b60c667d3929,Captain Benny's Seafood
Northeast,Jensen,4bd7a32e09ecb713886a477c,Mambo Seafood
Northeast,Jensen,5865a75365e7c70a2ff0aca4,Culichi Town
Northeast,Jensen,4b3975a3f964a520d75c25e3,Connie's Seafood Market & Restaurant
Northeast,Jensen,4e7249a6b0fb9f3b35292560,Liberty Kitchen & Oyster Bar
Northeast,Kashmere Gardens,4e7249a6b0fb9f3b35292560,Liberty Kitchen & Oyster Bar
Northeast,Kingwood,4a8f3ba8f964a520731420e3,Pappas Seafood House
Northwest,Langwood,4c3f8c84ce54e21e5438081a,Pappadeaux Seafood Kitchen
Northwest,Langwood,4c96456a58d4b60c667d3929,Captain Benny's Seafood
Northwest,Langwood,4aa33694f964a520b44320e3,Goode Company Seafood
Northwest,Langwood,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
Northwest,Langwood,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
East,Magnolia Park,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Southeast,Meadowbrook,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
Southeast,Meadowbrook,594d71902be42528bc8d0e46,Casian Crawfish
South,Medical Center,4b305919f964a52017f924e3,Goode Company Seafood
South,Medical Center,5babc856838e59002c0a8c8a,Eunice
South,Medical Center,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
West,Memorial,4c98392a05a1b1f711088c53,Eddie V's Prime Seafood
West,Memorial,4c0947f7a1b32d7fee6697f0,McCormick & Schmick's
West,Memorial,4b6e3389f964a52049b12ce3,Pappadeaux Seafood Kitchen
West,Memorial,4aa33694f964a520b44320e3,Goode Company Seafood
West,Memorial,4b11b5faf964a520e28223e3,Pappadeaux Seafood Kitchen
Southwest,Meyerland,4b42aa53f964a52074d825e3,Truluck's
Southwest,Meyerland,4b305919f964a52017f924e3,Goode Company Seafood
Southwest,Meyerland,5babc856838e59002c0a8c8a,Eunice
West,Mid-West ,4b6100acf964a5207f052ae3,Pappadeaux Seafood Kitchen
West,Mid-West ,4b42aa53f964a52074d825e3,Truluck's
South,Minnetex,4ea862660aaf6e05866cde62,TP Seafood Restaurant And Market
South,Museum Park,4b305919f964a52017f924e3,Goode Company Seafood
Southwest,Neartown,4cb8dc81bac937042062e07c,Eddie V's Prime Seafood
Southwest,Neartown,4b305919f964a52017f924e3,Goode Company Seafood
East,Northshore,53bb3557498e551fced0aad0,Pappadeaux Seafood Kitchen
East,Northshore,4cab5b3d2776b60ca8674b0d,Mambo Seafood
East,Northshore,4c6cde2cd68a9c745aef6b6b,Captain Tom's Seafood and Oyster Bar
East,Northshore,4ef2233482310969a7db7c41,Texas Grill Seafood
East,Northshore,4b6f6ac1f964a520b8ef2ce3,Captain Tom's
North,Northside,4bd7a32e09ecb713886a477c,Mambo Seafood
